timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:53:08.0,100.00 %,435.38 W,13.10 %,38.02 W,NVIDIA RTX A6000,3,8.42 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:13.0,100.00 %,425.49 W,13.10 %,26.36 W,NVIDIA RTX A6000,0,54.22 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:13.0,100.00 %,425.49 W,13.10 %,26.36 W,NVIDIA RTX A6000,1,33.99 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:13.0,100.00 %,425.49 W,13.10 %,26.36 W,NVIDIA RTX A6000,2,8.28 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:13.0,100.00 %,425.49 W,13.10 %,26.36 W,NVIDIA RTX A6000,3,8.16 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:18.0,100.00 %,463.02 W,13.10 %,36.18 W,NVIDIA RTX A6000,0,54.40 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:53:18.0,100.00 %,463.02 W,13.10 %,36.18 W,NVIDIA RTX A6000,1,34.11 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:53:18.0,100.00 %,463.02 W,13.10 %,36.18 W,NVIDIA RTX A6000,2,9.26 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:18.0,100.00 %,463.02 W,13.10 %,36.18 W,NVIDIA RTX A6000,3,8.96 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:53:23.0,100.00 %,389.63 W,13.10 %,31.12 W,NVIDIA RTX A6000,0,54.15 W,0 %,0 %,4,4,47 °C,N/A,1380 MHz,7600 MHz,1380 MHz
